question_id, difficulty, correct, date
1,0,None,None
2,0,None,None
3,0,None,None
4,0,None,None
5,0,None,None
6,0,None,None
7,0,None,None
8,0,None,None
9,0,None,None
10,0,None,None
11,0,None,None
12,0,None,None
13,0,None,None
14,0,None,None
15,0,None,None
16,0,None,None
17,0,None,None
18,0,None,None
19,0,None,None
20,0,None,None
21,0,None,None
22,0,None,None
23,0,None,None
24,0,None,None
25,0,None,None
26,0,None,None
27,0,None,None
28,0,None,None
29,0,None,None
30,0,None,None
31,0,None,None
32,0,None,None
33,0,None,None
34,0,None,None
35,0,None,None
36,0,None,None
37,0,None,None
38,0,None,None
39,0,None,None
40,0,None,None
41,0,None,None
42,0,None,None
43,0,None,None
44,0,None,None
45,0,None,None
46,0,None,None
47,0,None,None
48,0,None,None
49,0,None,None
50,0,None,None
51,0,None,None
52,0,None,None
53,0,None,None
54,0,None,None
55,0,None,None
56,0,None,None
57,0,None,None
58,0,None,None
59,0,None,None
60,0,None,None
61,0,None,None
62,0,None,None
63,0,None,None
64,0,None,None
65,0,None,None
66,0,None,None
67,0,None,None
68,0,None,None
69,0,None,None
70,0,None,None
71,0,None,None
72,0,None,None
73,0,None,None
74,0,None,None
75,0,None,None
76,0,None,None
77,0,None,None
78,0,None,None
79,0,None,None
80,0,None,None
81,0,None,None
82,0,None,None
83,0,None,None
84,0,None,None
85,0,None,None
86,0,None,None
87,0,None,None
88,0,None,None
89,0,None,None
90,0,None,None
91,0,None,None
92,0,None,None
93,0,None,None
94,0,None,None
95,0,None,None
96,0,None,None
97,0,None,None
98,0,None,None
99,0,None,None
100,0,None,None
101,0,None,None
102,0,None,None
103,0,None,None
104,0,None,None
105,0,None,None
106,0,None,None
107,0,None,None
108,0,None,None
109,0,None,None
110,0,None,None
111,0,None,None
112,0,None,None
113,0,None,None
114,0,None,None
115,0,None,None
116,0,None,None
117,0,None,None
118,0,None,None
119,0,None,None
120,0,None,None
121,0,None,None
122,0,None,None
123,0,None,None
124,0,None,None
125,0,None,None
126,0,None,None
127,0,None,None
128,0,None,None
129,0,None,None
130,0,None,None
131,0,None,None
132,0,None,None
133,0,None,None
134,0,None,None
135,0,None,None
136,0,None,None
137,0,None,None
138,0,None,None
139,0,None,None
140,0,None,None
141,0,None,None
142,0,None,None
143,0,None,None
144,0,None,None
145,0,None,None
146,0,None,None
147,0,None,None
148,0,None,None
149,0,None,None
150,0,None,None
151,0,None,None
152,0,None,None
153,0,None,None
154,0,None,None
155,0,None,None
156,0,None,None
157,0,None,None
158,0,None,None
159,0,None,None
160,0,None,None
161,0,None,None
162,0,None,None
163,0,None,None
164,0,None,None
165,0,None,None
166,0,None,None
167,0,None,None
168,0,None,None
169,0,None,None
170,0,None,None
171,0,None,None
172,0,None,None
173,0,None,None
174,0,None,None
175,0,None,None
176,0,None,None
177,0,None,None
178,0,None,None
179,0,None,None
180,0,None,None
181,0,None,None
182,0,None,None
183,0,None,None
184,0,None,None
185,0,None,None
186,0,None,None
187,0,None,None
188,0,None,None
189,0,None,None
190,0,None,None
191,0,None,None
192,0,None,None
193,0,None,None
194,0,None,None
195,0,None,None
196,0,None,None
197,0,None,None
198,0,None,None
199,0,None,None
200,0,None,None
201,0,None,None
202,0,None,None
203,0,None,None
204,0,None,None
205,0,None,None
206,0,None,None
207,0,None,None
208,0,None,None
209,0,None,None
210,0,None,None
211,0,None,None
212,0,None,None
213,0,None,None
214,0,None,None
215,0,None,None
216,0,None,None
217,0,None,None
218,0,None,None
219,0,None,None
220,0,None,None
221,0,None,None
222,0,None,None
223,0,None,None
224,0,None,None
225,0,None,None
226,0,None,None
227,0,None,None
228,0,None,None
229,0,None,None
230,0,None,None
231,0,None,None
232,0,None,None
233,0,None,None
234,0,None,None
235,0,None,None
236,0,None,None
237,0,None,None
238,0,None,None
239,0,None,None
240,0,None,None
241,0,None,None
242,0,None,None
243,0,None,None
244,0,None,None
245,0,None,None
246,0,None,None
247,0,None,None
248,0,None,None
249,0,None,None
250,0,None,None
251,0,None,None
252,0,None,None
253,0,None,None
254,0,None,None
255,0,None,None
256,0,None,None
257,0,None,None
258,0,None,None
259,0,None,None
260,0,None,None
261,0,None,None
262,0,None,None
263,0,None,None
264,0,None,None
265,0,None,None
266,0,None,None
267,0,None,None
268,0,None,None
269,0,None,None
270,0,None,None
271,0,None,None
272,0,None,None
273,0,None,None
274,0,None,None
275,0,None,None
276,0,None,None
277,0,None,None
278,0,None,None
279,0,None,None
280,0,None,None
281,0,None,None
282,0,None,None
283,0,None,None
284,0,None,None
285,0,None,None
286,0,None,None
287,0,None,None
288,0,None,None
289,0,None,None
290,0,None,None
291,0,None,None
292,0,None,None
293,0,None,None
294,0,None,None
295,0,None,None
296,0,None,None
297,0,None,None
298,0,None,None
299,0,None,None
300,0,None,None
301,0,None,None
302,0,None,None
303,0,None,None
304,0,None,None
305,0,None,None
306,0,None,None
307,0,None,None
308,0,None,None
309,0,None,None
310,0,None,None
311,0,None,None
312,0,None,None
313,0,None,None
314,0,None,None
315,0,None,None
316,0,None,None
317,0,None,None
318,0,None,None
319,0,None,None
320,0,None,None
321,0,None,None
322,0,None,None
323,0,None,None
324,0,None,None
325,0,None,None
326,0,None,None
327,0,None,None
328,0,None,None
329,0,None,None
330,0,None,None
331,0,None,None
332,0,None,None
333,0,None,None
334,0,None,None
335,0,None,None
336,0,None,None
337,0,None,None
338,0,None,None
339,0,None,None
340,0,None,None
341,0,None,None
342,0,None,None
343,0,None,None
344,0,None,None
345,0,None,None
346,0,None,None
347,0,None,None
348,0,None,None
349,0,None,None
350,0,None,None
351,0,None,None
352,0,None,None
353,0,None,None
354,0,None,None
355,0,None,None
356,0,None,None
357,0,None,None
358,0,None,None
359,0,None,None
360,0,None,None
361,0,None,None
362,0,None,None
363,0,None,None
364,0,None,None
365,0,None,None
366,0,None,None
367,0,None,None
368,0,None,None
369,0,None,None
370,0,None,None
371,0,None,None
372,0,None,None
373,0,None,None
374,0,None,None
375,0,None,None
376,0,None,None
377,0,None,None
378,0,None,None
379,0,None,None
380,0,None,None
381,0,None,None
382,0,None,None
383,0,None,None
384,0,None,None
385,0,None,None
386,0,None,None
387,0,None,None
388,0,None,None
389,0,None,None
390,0,None,None
391,0,None,None
392,0,None,None
393,0,None,None
394,0,None,None
395,0,None,None
396,0,None,None
397,0,None,None
398,0,None,None
399,0,None,None
400,0,None,None
401,0,None,None
402,0,None,None
403,0,None,None
404,0,None,None
405,0,None,None
406,0,None,None
407,0,None,None
408,0,None,None
409,0,None,None
410,0,None,None
411,0,None,None
412,0,None,None
413,0,None,None
414,0,None,None
415,0,None,None
416,0,None,None
417,0,None,None
418,0,None,None
419,0,None,None
420,0,None,None
421,0,None,None
422,0,None,None
423,0,None,None
424,0,None,None
425,0,None,None
426,0,None,None
427,0,None,None
428,0,None,None
429,0,None,None
430,0,None,None
431,0,None,None
432,0,None,None
433,0,None,None
434,0,None,None
435,0,None,None
436,0,None,None
437,0,None,None
438,0,None,None
439,0,None,None
440,0,None,None
441,0,None,None
442,0,None,None
443,0,None,None
444,0,None,None
445,0,None,None
446,0,None,None
447,0,None,None
448,0,None,None
449,0,None,None
450,0,None,None
451,0,None,None
452,0,None,None
453,0,None,None
454,0,None,None
455,0,None,None
456,0,None,None
457,0,None,None
458,0,None,None
459,0,None,None
460,0,None,None
461,0,None,None
462,0,None,None
463,0,None,None
464,0,None,None
465,0,None,None
466,0,None,None
467,0,None,None
468,0,None,None
469,0,None,None
470,0,None,None
471,0,None,None
472,0,None,None
473,0,None,None
474,0,None,None
475,0,None,None
476,0,None,None
477,0,None,None
478,0,None,None
479,0,None,None
480,0,None,None
481,0,None,None
482,0,None,None
483,0,None,None
484,0,None,None
485,0,None,None
486,0,None,None
487,0,None,None
488,0,None,None
489,0,None,None
490,0,None,None
491,0,None,None
492,0,None,None
493,0,None,None
494,0,None,None
495,0,None,None
496,0,None,None
497,0,None,None
498,0,None,None
499,0,None,None
500,0,None,None